artistName,genres
Imagine Dragons,"['modern rock', 'rock']"
iLOVEFRiDAY,['viral pop']
Panic! At The Disco,"['baroque pop', 'emo', 'modern rock', 'pop punk']"
Oliver Tree,['alternative hip hop']
88rising,"['asian american hip hop', 'pop']"
bbno$,"['canadian hip hop', 'dark trap', 'vapor trap']"
atlas,['lo-fi beats']
Yung Gravy,"['meme rap', 'minnesota hip hop', 'pop rap', 'vapor trap']"
Joji,"['alternative r&b', 'viral pop']"
BROCKHAMPTON,"['boy band', 'hip hop', 'rap']"
Iamjakehill,"['dark trap', 'emo rap', 'pop rap', 'sad rap']"
Rich Brian,['indonesian hip hop']
Getter,"['brostep', 'dark trap', 'edm', 'electronic trap', 'filthstep', 'underground hip hop']"
Gus Dapperton,"['bedroom pop', 'indie pop', 'indie poptimism']"
Kevin Abstract,"['afrofuturism', 'hip hop', 'lgbtq+ hip hop', 'rap']"
Jaden,"['hip hop', 'rap']"
rei brown,"['emo rap', 'lo-fi beats', 'sad rap']"
Hobo Johnson,"['emo rap', 'sacramento hip hop']"
Samsa,['meme rap']
Josh A,"['emo rap', 'meme rap', 'sad rap']"
Verzache,['lo-fi beats']
zack villere,['bedroom pop']
Yeek,"['alternative r&b', 'indie r&b']"
Meltycanon,['lo-fi beats']
Twenty One Pilots,"['modern rock', 'rock']"
Martin Garrix,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']"
Alan Walker,['electro house']
AJR,['modern rock']
OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']"
Clean Bandit,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
MKTO,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']"
Liam Payne,"['dance pop', 'pop', 'post-teen pop']"
Avicii,"['big room', 'dance pop', 'edm', 'pop']"
Owl City,"['modern rock', 'pop', 'pop rock', 'post-teen pop']"
The Chainsmokers,"['dance pop', 'edm', 'electropop', 'pop', 'tropical house']"
DNCE,"['dance pop', 'pop', 'pop rock', 'post-teen pop']"
EDEN,"['indie poptimism', 'modern rock', 'pop', 'pop rap']"
NateWantsToBattle,"['antiviral pop', 'otacore']"
UVERworld,"['j-pop', 'j-poprock', 'otacore']"
Anderson .Paak,['escape room']
Odd Future,"['hip hop', 'rap']"
Tay Zonday,['outsider']
Polyphia,['instrumental rock']
After The Burial,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'minneapolis metal', 'progressive metalcore']"
6ix9ine,['emo rap']
Lil Yachty,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap']"
The Contortionist,"['alternative metal', 'deathcore', 'djent', 'melodic metalcore', 'progressive post-hardcore', 'sci-fi metal']"
Vitalism,"['brazilian progressive metal', 'djent', 'instrumental rock']"
Between The Buried And Me,"['alternative metal', 'deathcore', 'djent', 'melodic metalcore', 'north carolina metal', 'progressive metal']"
Monuments,['djent']
Chon,"['djent', 'instrumental math rock', 'instrumental rock', 'progressive jazz fusion', 'san diego indie']"
Plini,"['djent', 'instrumental math rock', 'instrumental rock', 'progressive jazz fusion']"
Intervals,"['djent', 'instrumental rock']"
Eternity Forever,['progressive post-hardcore']
TesseracT,"['djent', 'progressive metal']"
Erra,"['alabama metal', 'deep melodic metalcore', 'djent', 'melodic metalcore', 'metalcore', 'progressive metalcore']"
Aries,"['emo rap', 'pop rap', 'sad rap']"
Elohim,"['electropop', 'indie electropop', 'indie poptimism', 'indietronica', 'la pop', 'vapor soul', 'vapor twitch']"
Still Woozy,"['bedroom pop', 'indie pop', 'modern rock', 'oakland indie']"
The War On Drugs,"['indie rock', 'modern rock', 'philly indie']"
Frank Ocean,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
JID,"['hip hop', 'rap', 'underground hip hop']"
MF DOOM,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'rap']"
Aesop Rock,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop']"
Dbangz,"['meme rap', 'vapor trap']"
Terror Reid,"['dark trap', 'underground hip hop']"
"Tyler, The Creator","['hip hop', 'rap']"
Travis Scott,['rap']
