artistName,genres
The Wombats,"['indie pop', 'liverpool indie', 'modern alternative rock', 'modern rock', 'rock']"
The Deadly Syndrome,[]
Valencia,"['neon pop punk', 'philly indie', 'pop emo', 'pop punk']"
The Maine,"['emo', 'modern alternative rock', 'modern rock', 'neon pop punk', 'pop emo', 'pop punk', 'pop rock', 'post-teen pop', 'tempe indie']"
Remo Drive,"['alternative emo', 'indie garage rock', 'indie punk', 'indie rock']"
Saba,"['chicago rap', 'hip hop', 'rap', 'underground hip hop']"
Childish Gambino,"['atl hip hop', 'hip hop', 'pop rap', 'rap']"
BEAM,['trap soul']
BROCKHAMPTON,"['boy band', 'hip hop', 'rap']"
Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
ScHoolboy Q,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Joji,"['alternative r&b', 'viral pop']"
Last Dinosaurs,"['australian indie', 'indie pop']"
Rega,"['edm', 'pop', 'pop edm', 'tropical house']"
Post Animal,"['indie garage rock', 'neo-psychedelic']"
The Band CAMINO,"['electropop', 'hopebeat', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']"
Bad Suns,"['indie pop', 'indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock']"
Vacation Manor,"['hopebeat', 'indie pop', 'indie poptimism', 'modern rock']"
COIN,"['indie pop', 'indie poptimism', 'indie r&b', 'modern alternative rock', 'modern rock', 'pop']"
Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'shiver pop']"
James Blake,"['art pop', 'indie r&b', 'indie soul', 'uk alternative pop']"
Toro y Moi,"['alternative dance', 'chillwave', 'indie pop', 'indie soul', 'indietronica', 'new rave', 'nu gaze']"
Tierra Whack,"['alternative r&b', 'escape room', 'indie r&b']"
Kelela,"['afrofuturism', 'alternative r&b', 'art pop', 'dance pop', 'electropop', 'escape room', 'indie r&b', 'indie soul']"
Jon Hopkins,"['ambient', 'compositional ambient', 'electronica', 'intelligent dance music', 'neo-classical', 'post-rock']"
Injury Reserve,"['alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop', 'underground hip hop']"
Denzel Curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop']"
JPEGMAFIA,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop', 'rap', 'underground hip hop']"
Hippo Campus,"['indie pop', 'indie poptimism', 'indie rock', 'minneapolis indie', 'modern alternative rock', 'modern rock']"
Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
NOEL,"['banda', 'corridos tumbados', 'deep regional mexican', 'grupera', 'norteno', 'nuevo regional mexicano', 'regional mexican']"
Flobots,"['comic', 'conscious hip hop']"
Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'rock']"
Don Diablo,"['big room', 'deep big room', 'edm', 'electro house', 'future house', 'house', 'pop', 'pop edm', 'progressive electro house', 'tropical house']"
The 1975,"['indie pop', 'modern alternative rock', 'modern rock', 'nu gaze', 'pop', 'rock']"
Post Malone,"['dfw rap', 'melodic rap', 'rap']"
Jakey,['meme rap']
Neck Deep,"['pop punk', 'uk pop punk']"
Movements,"['alternative emo', 'anthem emo', 'emo', 'midwest emo', 'pop punk', 'socal pop punk']"
Samsa,"['meme rap', 'social media pop']"
The Fratellis,"['garage rock', 'modern rock', 'rock', 'scottish rock']"
X Ambassadors,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock', 'stomp pop']"
Clairo,"['bedroom pop', 'boston indie', 'indie pop']"
Kanye West,"['chicago rap', 'rap']"
Pusha T,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']"
Skillet,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']"
Ansel Elgort,"['dance pop', 'pop']"
Cordae,"['dmv rap', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop', 'vapor trap']"
The Vamps,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
Jon Bellion,['pop rap']
Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Rich Brian,['indonesian hip hop']
Sampa the Great,"['australian hip hop', 'conscious hip hop', 'escape room', 'indie soul', 'zambian hip hop']"
Pierce The Veil,"['modern rock', 'pop punk', 'screamo']"
