artistName,genres
Imagine Dragons,"['modern rock', 'pop', 'rock']"
Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Anderson .Paak,['escape room']
Lil Dicky,"['comedy rap', 'pop rap', 'rap']"
Breaking Benjamin,"['alternative metal', 'nu metal', 'post-grunge']"
Misha Mansoor,[]
Post Malone,"['dfw rap', 'melodic rap', 'rap']"
AmaLee,"['anime latino', 'otacore']"
Tina Turner,"['disco', 'europop', 'new wave pop', 'soft rock']"
Lady Gaga,"['dance pop', 'pop']"
Grouplove,"['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']"
Breakbot,"['alternative dance', 'disco house', 'filter house', 'new french touch', 'nu disco']"
Coldplay,"['permanent wave', 'pop']"
Ramin Djawadi,"['german soundtrack', 'scorecore', 'soundtrack', 'video game music']"
Neon Trees,"['indie pop', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop punk', 'pop rock', 'post-teen pop', 'rock']"
Blackway,['nyc rap']
John Mayer,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']"
Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Fall Out Boy,"['emo', 'modern rock', 'pop punk']"
Rob Thomas,"['acoustic pop', 'neo mellow', 'pop rock']"
Israel Kamakawiwo'ole,['hawaiian']
U2,"['irish rock', 'permanent wave', 'rock']"
Led Zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']"
OutKast,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']"
Tom Jones,"['adult standards', 'british invasion', 'mellow gold']"
Denzel Curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop']"
Smash Mouth,"['alternative rock', 'pop punk', 'pop rock']"
The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']"
Eminem,"['detroit hip hop', 'hip hop', 'rap']"
Hans Zimmer,"['german soundtrack', 'soundtrack']"
The Doors,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']"
Jon Bellion,['pop rap']
Beyoncé,"['dance pop', 'pop', 'r&b']"
T-Pain,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
Electric Light Orchestra,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
Miguel,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']"
Katy Perry,"['dance pop', 'pop', 'post-teen pop']"
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
Paul Lipson,['video game music']
