endTime,artistName,trackName,msPlayed
2018-11-14 00:01,Imagine Dragons,Stuck,190853
2018-11-14 00:04,Imagine Dragons,Love,166360
2018-11-14 00:08,Imagine Dragons,Birds,219440
2018-11-14 00:12,Imagine Dragons,Burn Out,273880
2018-11-14 00:16,Imagine Dragons,Real Life,247546
2018-11-14 00:21,Imagine Dragons,Bad Liar,260773
2018-11-14 00:24,Imagine Dragons,West Coast,217173
2018-11-14 00:28,Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",210933
2018-11-14 00:31,Imagine Dragons,Bullet In A Gun,204853
2018-11-14 00:35,Imagine Dragons,Digital,201040
2018-11-14 00:38,Imagine Dragons,Only,180733
2018-11-14 00:41,Imagine Dragons,Stuck,190853
2018-11-14 00:44,Imagine Dragons,Love,166360
2018-11-14 00:47,Imagine Dragons,Birds,219440
2018-11-14 00:52,Imagine Dragons,Burn Out,273880
2018-11-14 00:56,Imagine Dragons,Real Life,247546
2018-11-14 01:00,Imagine Dragons,Bad Liar,260773
2018-11-14 01:04,Imagine Dragons,West Coast,217173
2018-11-14 01:07,Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",210933
2018-11-14 01:11,Imagine Dragons,Bullet In A Gun,204853
2018-11-14 01:14,Imagine Dragons,Digital,201040
2018-11-14 01:17,Imagine Dragons,Only,180733
2018-11-14 01:20,Imagine Dragons,Stuck,190853
2018-11-14 01:23,Imagine Dragons,Love,166360
2018-11-14 01:27,Imagine Dragons,Birds,219440
2018-11-14 01:31,Imagine Dragons,Burn Out,273880
2018-11-14 01:36,Imagine Dragons,Real Life,247546
2018-11-14 01:40,Imagine Dragons,Bad Liar,260773
2018-11-14 01:44,Imagine Dragons,West Coast,217173
2018-11-14 01:47,Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",210933
2018-11-14 01:50,Imagine Dragons,Bullet In A Gun,204853
2018-11-14 01:54,Imagine Dragons,Digital,201040
2018-11-14 01:55,Imagine Dragons,Only,56713
2018-11-14 02:12,Imagine Dragons,Boomerang,187800
2018-11-14 02:15,Imagine Dragons,Machine,181880
2018-11-14 02:19,Imagine Dragons,Cool Out,217866
2018-11-14 02:23,Imagine Dragons,Bad Liar,260773
2018-11-14 02:25,Imagine Dragons,West Coast,72256
2018-11-14 18:32,iLOVEFRiDAY,Mia Khalifa,62421
2018-11-14 18:34,Panic! At The Disco,Old Fashioned,166733
2018-11-14 18:35,iLOVEFRiDAY,Mia Khalifa,21908
2018-11-14 18:37,Oliver Tree,Alien Boy,163524
2018-11-14 18:41,Oliver Tree,All I Got,218703
2018-11-14 18:43,Oliver Tree,Enemy,114312
2018-11-14 18:46,Oliver Tree,All That,166991
2018-11-14 18:48,Oliver Tree,Welcome to LA,151654
2018-11-14 18:52,Oliver Tree,Upside Down,195918
2018-11-14 18:54,Oliver Tree,Alien Boy,163524
2018-11-14 18:58,Oliver Tree,All I Got,218703
2018-11-14 19:00,Oliver Tree,Enemy,114312
2018-11-14 19:03,Oliver Tree,All That,166991
2018-11-14 19:05,Oliver Tree,Welcome to LA,151654
2018-11-14 19:08,Oliver Tree,Upside Down,195918
2018-11-14 19:11,Oliver Tree,Alien Boy,163524
2018-11-14 19:15,Oliver Tree,All I Got,218703
2018-11-14 19:17,Oliver Tree,Enemy,114312
2018-11-14 19:20,Oliver Tree,All That,166991
2018-11-14 19:22,Oliver Tree,Welcome to LA,151654
2018-11-14 19:25,Oliver Tree,Upside Down,195918
2018-11-14 19:28,Oliver Tree,Alien Boy,163524
2018-11-14 19:32,Oliver Tree,All I Got,218703
2018-11-14 19:34,Oliver Tree,Enemy,114312
2018-11-14 20:15,Oliver Tree,All That,166991
2018-11-14 20:18,Oliver Tree,Welcome to LA,151654
2018-11-14 20:21,Oliver Tree,Upside Down,195918
2018-11-14 20:24,Oliver Tree,Alien Boy,163524
2018-11-14 20:27,Oliver Tree,All I Got,218703
2018-11-14 20:29,Oliver Tree,Enemy,114312
2018-11-14 20:32,Oliver Tree,All That,166991
2018-11-14 20:34,Oliver Tree,Welcome to LA,151654
2018-11-14 20:38,Oliver Tree,Upside Down,195918
2018-11-14 20:40,Oliver Tree,Alien Boy,163524
2018-11-14 20:44,Oliver Tree,All I Got,218703
2018-11-14 20:46,Oliver Tree,Enemy,114312
2018-11-14 20:49,Oliver Tree,All That,166991
2018-11-14 20:51,Oliver Tree,Welcome to LA,151654
2018-11-14 20:55,Oliver Tree,Upside Down,195918
2018-11-14 20:57,Oliver Tree,Alien Boy,163524
2018-11-14 21:01,Oliver Tree,All I Got,218703
2018-11-14 21:03,Oliver Tree,Enemy,114312
2018-11-14 21:06,Oliver Tree,All That,166991
2018-11-14 21:08,Oliver Tree,Welcome to LA,151654
2018-11-14 21:11,Oliver Tree,Upside Down,195918
2018-11-14 21:17,Oliver Tree,Alien Boy,163524
2018-11-14 21:20,Oliver Tree,All I Got,218703
2018-11-14 21:22,Oliver Tree,Enemy,114312
2018-11-14 21:25,Oliver Tree,All That,166991
2018-11-14 21:28,Oliver Tree,Welcome to LA,151654
2018-11-14 21:31,Oliver Tree,Upside Down,195918
2018-11-14 21:34,Oliver Tree,Alien Boy,163524
2018-11-14 21:37,Oliver Tree,All I Got,218703
2018-11-14 21:38,Oliver Tree,Enemy,114312
2018-11-14 21:41,Oliver Tree,All That,166991
2018-11-14 21:44,Oliver Tree,Welcome to LA,151654
2018-11-14 23:58,Oliver Tree,Upside Down,41837
2018-11-15 00:01,Oliver Tree,Alien Boy,163524
2018-11-15 00:04,Oliver Tree,All I Got,218703
2018-11-15 00:06,Oliver Tree,Enemy,114312
2018-11-15 00:09,Oliver Tree,All That,166991
2018-11-15 00:12,Oliver Tree,Welcome to LA,151654
2018-11-15 00:15,Oliver Tree,Upside Down,195918
2018-11-15 00:18,Oliver Tree,Alien Boy,163524
2018-11-15 00:21,Oliver Tree,All I Got,218703
2018-11-15 00:23,Oliver Tree,Enemy,114312
2018-11-15 00:26,Oliver Tree,All That,166991
2018-11-15 00:29,Oliver Tree,Welcome to LA,151654
2018-11-15 00:32,Oliver Tree,Upside Down,195918
2018-11-15 00:35,Oliver Tree,Alien Boy,163524
2018-11-15 00:38,Oliver Tree,All I Got,218703
2018-11-15 00:40,Oliver Tree,Enemy,114312
2018-11-15 00:43,Oliver Tree,All That,166991
2018-11-15 00:45,Oliver Tree,Welcome to LA,151654
2018-11-15 00:49,Oliver Tree,Upside Down,195918
2018-11-15 00:51,Oliver Tree,Alien Boy,163524
2018-11-15 00:54,Oliver Tree,All I Got,145723
2018-11-15 04:55,Oliver Tree,Alien Boy,163524
2018-11-15 04:59,Oliver Tree,All I Got,218703
2018-11-15 05:01,Oliver Tree,Enemy,114312
2018-11-15 05:04,Oliver Tree,All That,166991
2018-11-15 05:06,Oliver Tree,Welcome to LA,151654
2018-11-15 05:09,Oliver Tree,Upside Down,195918
2018-11-15 05:12,Oliver Tree,Movement,163195
2018-11-15 05:15,88rising,Peach Jam,161713
2018-11-15 05:17,bbno$,moves,161632
2018-11-15 05:20,atlas,you're my world,157038
2018-11-15 05:23,Yung Gravy,Pizzazz,165786
2018-11-15 05:26,Joji,SLOW DANCING IN THE DARK,209273
2018-11-15 05:29,Oliver Tree,Cheapskate,177171
2018-11-15 05:32,88rising,Head In The Clouds,178022
2018-11-15 05:36,BROCKHAMPTON,1998 TRUMAN,245333
2018-11-15 05:39,Iamjakehill,Stay,185091
2018-11-15 05:43,Rich Brian,Glow Like Dat,210861
2018-11-15 05:46,Joji,YEAH RIGHT,174357
2018-11-15 05:48,BROCKHAMPTON,1997 DIANA,135766
2018-11-15 05:54,Getter,On My Way Out,330947
2018-11-15 05:58,Gus Dapperton,"Gum, Toe and Sole",233589
2018-11-15 06:01,Joji,Will He,202102
2018-11-15 06:05,Rich Brian,Cold,227752
2018-11-15 06:05,Joji,Will He,1493
2018-11-15 06:09,Rich Brian,Cold,228432
2018-11-15 06:12,Kevin Abstract,Empty,194336
2018-11-15 06:16,Jaden,Icon,220995
2018-11-15 06:20,rei brown,Picture Frames,272500
2018-11-15 06:23,Oliver Tree,Welcome to LA,151654
2018-11-15 06:25,Joji,Window,152375
2018-11-15 06:28,Hobo Johnson,Father,140524
2018-11-15 06:31,88rising,History,618
2018-11-15 06:31,Samsa,Solo,208143
2018-11-15 06:31,Samsa,Solo,1023
2018-11-15 06:31,BROCKHAMPTON,1999 WILDFIRE,2525
2018-11-15 06:31,BROCKHAMPTON,1999 WILDFIRE,896
2018-11-15 06:35,BROCKHAMPTON,1999 WILDFIRE,251250
2018-11-15 06:39,88rising,History,207307
2018-11-15 06:41,Oliver Tree,Enemy,114312
2018-11-15 06:44,Jaden,B,186175
2018-11-15 06:47,Rich Brian,See Me,212472
2018-11-15 06:50,Josh A,Gucci Coffin,180005
2018-11-15 06:55,88rising,Midsummer Madness,280841
