endTime,artistName,trackName,msPlayed
2019-09-23 01:58,The Wombats,I Only Wear Black,6617
2019-09-23 02:01,The Wombats,Lemon to a Knife Fight,205821
2019-09-23 02:05,The Wombats,Turn,207679
2019-09-23 02:08,The Wombats,Black Flamingo,200860
2019-09-23 02:13,The Wombats,White Eyes,253420
2019-09-23 02:15,The Wombats,Lethal Combination,158536
2019-09-23 02:18,The Wombats,Out of My Head,182439
2019-09-23 02:21,The Wombats,I Only Wear Black,191110
2019-09-23 02:22,The Wombats,Ice Cream,28272
2019-09-23 02:31,The Wombats,Ice Cream,5712
2019-09-23 02:34,The Wombats,Lemon to a Knife Fight,205821
2019-09-23 02:38,The Wombats,Turn,207679
2019-09-23 02:41,The Wombats,Black Flamingo,200860
2019-09-23 02:47,The Wombats,White Eyes,355349
2019-09-23 02:50,The Wombats,Lethal Combination,158536
2019-09-23 02:53,The Wombats,Out of My Head,182439
2019-09-23 02:56,The Wombats,I Only Wear Black,191110
2019-09-23 03:00,The Wombats,Ice Cream,224307
2019-09-23 03:03,The Wombats,Dip You in Honey,188418
2019-09-23 03:07,The Wombats,I Don't Know Why I Like You but I Do,229755
2019-09-23 03:10,The Wombats,Cheetah Tongue,219481
2019-09-23 03:14,The Wombats,Lemon to a Knife Fight,205821
2019-09-23 03:17,The Wombats,Turn,207679
2019-09-23 03:32,The Wombats,Black Flamingo,199525
2019-09-23 03:47,The Wombats,Lemon to a Knife Fight,205821
2019-09-23 03:50,The Wombats,Turn,207679
2019-09-23 04:14,The Wombats,Black Flamingo,187907
2019-09-23 16:02,The Wombats,Black Flamingo,1770
2019-09-23 16:02,The Wombats,Turn,703
2019-09-23 16:02,The Wombats,Cheetah Tongue,1066
2019-09-23 16:02,The Wombats,Lemon to a Knife Fight,703
2019-09-23 16:05,The Wombats,Lemon to a Knife Fight,205821
2019-09-23 16:09,The Wombats,Turn,207679
2019-09-23 16:12,The Wombats,Black Flamingo,200860
2019-09-23 16:16,The Wombats,White Eyes,253420
2019-09-23 16:19,The Wombats,Lethal Combination,158536
2019-09-23 16:22,The Wombats,Out of My Head,182439
2019-09-23 16:25,The Wombats,I Only Wear Black,191110
2019-09-23 16:36,The Wombats,Out of My Head,533
2019-09-23 16:36,The Wombats,Ice Cream,128494
2019-09-23 16:36,The Wombats,White Eyes,768
2019-09-23 16:36,The Wombats,Black Flamingo,597
2019-09-23 16:36,The Wombats,Turn,1023
2019-09-23 16:36,The Wombats,Lethal Combination,1514
2019-09-23 16:36,The Wombats,I Only Wear Black,618
2019-09-23 16:40,The Wombats,Lemon to a Knife Fight,205821
2019-09-23 16:43,The Wombats,Turn,207679
2019-09-23 16:47,The Wombats,Black Flamingo,200860
2019-09-23 16:51,The Wombats,White Eyes,253420
2019-09-23 16:53,The Wombats,Lethal Combination,158536
2019-09-23 16:56,The Wombats,Out of My Head,182439
2019-09-23 17:00,The Wombats,I Only Wear Black,191110
2019-09-23 17:04,The Wombats,Ice Cream,224307
2019-09-23 17:07,The Wombats,Dip You in Honey,188418
2019-09-23 17:11,The Wombats,I Don't Know Why I Like You but I Do,229755
2019-09-23 17:15,The Wombats,Cheetah Tongue,219481
2019-09-23 17:18,The Wombats,Lemon to a Knife Fight,205821
2019-09-23 17:22,The Wombats,Turn,207679
2019-09-23 17:31,The Wombats,Black Flamingo,200860
2019-09-23 18:26,The Wombats,White Eyes,253420
2019-09-23 18:28,The Wombats,Lethal Combination,158536
2019-09-23 18:31,The Wombats,Out of My Head,182439
2019-09-23 18:35,The Wombats,I Only Wear Black,191110
2019-09-23 18:38,The Wombats,Ice Cream,224307
2019-09-23 18:41,The Wombats,Dip You in Honey,188418
2019-09-23 18:45,The Wombats,I Don't Know Why I Like You but I Do,229755
2019-09-23 18:49,The Wombats,Cheetah Tongue,219481
2019-09-23 18:52,The Wombats,Lemon to a Knife Fight,205821
2019-09-23 18:56,The Wombats,Turn,207679
2019-09-23 18:59,The Wombats,Black Flamingo,200860
2019-09-23 19:03,The Wombats,White Eyes,253420
2019-09-23 19:06,The Wombats,Lethal Combination,158536
2019-09-23 19:09,The Wombats,Out of My Head,182439
2019-09-23 19:12,The Wombats,I Only Wear Black,191110
2019-09-23 19:16,The Wombats,Ice Cream,224307
2019-09-23 19:19,The Wombats,Dip You in Honey,188418
2019-09-23 19:21,The Wombats,I Don't Know Why I Like You but I Do,85163
2019-09-24 02:15,The Wombats,Turn,207679
2019-09-24 02:18,The Wombats,Black Flamingo,200860
2019-09-24 02:22,The Wombats,White Eyes,209167
2019-09-24 02:27,The Deadly Syndrome,Young at Heart,13646
2019-09-24 02:27,The Deadly Syndrome,Wolves in the Garden,302440
2019-09-24 16:49,Valencia,Safe To Say,200533
2019-09-24 16:52,The Maine,Black Butterflies and Déjà Vu,198674
2019-09-24 16:55,Remo Drive,Art School,174288
2019-09-24 17:55,Saba,Bucket List,189962
2019-09-24 17:59,Childish Gambino,I. The Worst Guys,219739
2019-09-24 18:00,BEAM,PROBLEMS,57749
2019-09-24 23:36,BROCKHAMPTON,FACE,4690
2019-09-24 23:39,BROCKHAMPTON,RENTAL,207679
2019-09-24 23:43,Logic,Driving Ms Daisy,240586
2019-09-24 23:44,ScHoolboy Q,Man Of The Year,952
2019-09-24 23:44,ScHoolboy Q,Dangerous (feat. Kid Cudi),64604
2019-09-24 23:44,Joji,Plastic Taste,789
2019-09-24 23:49,BROCKHAMPTON,1998 TRUMAN,245333
2019-09-24 23:49,BROCKHAMPTON,HEAT,43139
2019-09-25 02:10,Last Dinosaurs,Zoom,237633
2019-09-25 02:13,Last Dinosaurs,Apollo,205493
2019-09-25 02:17,Rega,DAVID,249187
2019-09-25 02:20,Post Animal,Ralphie,626
2019-09-25 02:20,The Band CAMINO,Free of Charge,952
2019-09-25 02:20,Bad Suns,Heartbreaker,1044
2019-09-25 02:20,Remo Drive,Yer Killin' Me,998
2019-09-25 02:20,Remo Drive,Blue Ribbon,142477
2019-09-25 02:20,The Band CAMINO,See Through,1253
2019-09-25 02:20,Vacation Manor,A Toast and a Spirit,626
2019-09-25 02:20,COIN,Crash My Car,1114
2019-09-25 02:22,Post Animal,Ralphie,122717
2019-09-25 17:41,The Wombats,Lemon to a Knife Fight,205821
2019-09-25 17:44,The Wombats,White Eyes,4288
2019-09-25 17:44,The Wombats,Cheetah Tongue,198350
2019-09-25 17:44,The Wombats,Lemon to a Knife Fight,640
2019-09-25 17:47,The Wombats,Lemon to a Knife Fight,205821
2019-09-25 17:51,The Wombats,Turn,207679
2019-09-25 17:54,The Wombats,Black Flamingo,200860
2019-09-25 17:58,The Wombats,White Eyes,253420
2019-09-25 18:01,The Wombats,Lethal Combination,158536
2019-09-25 18:04,The Wombats,Out of My Head,182439
2019-09-25 18:07,The Wombats,I Only Wear Black,191110
2019-09-25 18:11,The Wombats,Ice Cream,224307
2019-09-25 18:14,The Wombats,Dip You in Honey,188418
2019-09-25 18:18,The Wombats,I Don't Know Why I Like You but I Do,229755
2019-09-25 18:22,The Wombats,Cheetah Tongue,219481
2019-09-25 18:25,The Wombats,Lemon to a Knife Fight,205821
2019-09-25 18:29,The Wombats,Turn,207679
2019-09-25 18:32,The Wombats,Black Flamingo,190130
2019-09-26 06:29,The Wombats,Black Flamingo,5269
2019-09-26 06:33,The Wombats,Lemon to a Knife Fight,205821
2019-09-26 06:36,The Wombats,Turn,207679
2019-09-26 06:39,The Wombats,Black Flamingo,200860
2019-09-26 06:40,The Wombats,White Eyes,21073
2019-09-26 06:40,The Wombats,Black Flamingo,618
2019-09-26 06:43,The Wombats,Turn,207679
2019-09-26 06:48,The Wombats,Black Flamingo,192448
2019-09-26 15:58,The Wombats,Turn,207679
2019-09-26 15:59,The Wombats,Black Flamingo,22400
2019-09-26 16:02,The Wombats,Lemon to a Knife Fight,205821
2019-09-26 16:06,The Wombats,Turn,207679
2019-09-26 16:08,The Wombats,Black Flamingo,149613
2019-09-26 17:51,The Wombats,Turn,490
2019-09-26 17:55,The Wombats,Lemon to a Knife Fight,205821
2019-09-26 17:58,The Wombats,Turn,207679
2019-09-26 17:59,The Wombats,Black Flamingo,62680
2019-09-27 18:38,The Wombats,Lemon to a Knife Fight,490
2019-09-27 18:39,Glass Animals,Life Itself,32725
2019-09-27 18:39,The Wombats,Lemon to a Knife Fight,29866
2019-09-27 18:44,Glass Animals,Pork Soda,261874
2019-09-27 18:48,Glass Animals,Mama's Gun,266747
2019-09-27 18:51,Glass Animals,Cane Shuga,196570
2019-09-27 18:52,Glass Animals,[Premade Sandwiches],36254
2019-09-27 18:57,Glass Animals,The Other Side Of Paradise,320654
2019-09-27 19:01,Glass Animals,Take A Slice,229717
2019-09-27 19:06,Glass Animals,Poplar St,262539
2019-09-27 19:10,Glass Animals,Agnes,271672
2019-09-27 19:15,Glass Animals,Life Itself,281406
2019-09-27 19:19,Glass Animals,Youth,230693
2019-09-27 19:21,Glass Animals,Season 2 Episode 3,170905
2019-09-28 03:25,The Wombats,Cheetah Tongue,2389
2019-09-28 03:25,The Wombats,Cheetah Tongue,426
2019-09-28 03:27,The Wombats,Ice Cream,119381
2019-09-28 03:31,The Wombats,Turn,207679
2019-09-28 03:43,The Wombats,Black Flamingo,176611
2019-09-28 03:47,The Wombats,Turn,207679
2019-09-28 03:50,The Wombats,Black Flamingo,200860
2019-09-28 03:54,The Wombats,White Eyes,253420
2019-09-28 03:57,The Wombats,Lethal Combination,158536
2019-09-28 04:00,The Wombats,Out of My Head,182439
2019-09-28 04:03,The Wombats,I Only Wear Black,191110
2019-09-28 04:07,The Wombats,Ice Cream,224307
2019-09-28 04:08,The Wombats,Dip You in Honey,59014
2019-09-28 21:41,Glass Animals,Pork Soda,253831
2019-09-28 21:46,Glass Animals,Mama's Gun,266747
2019-09-28 21:49,Glass Animals,Cane Shuga,196570
2019-09-28 21:50,Glass Animals,[Premade Sandwiches],36254
2019-09-28 21:55,Glass Animals,The Other Side Of Paradise,320654
2019-09-28 21:59,Glass Animals,Take A Slice,229717
2019-09-28 22:03,Glass Animals,Poplar St,262539
2019-09-28 22:08,Glass Animals,Agnes,271672
2019-09-28 22:12,Glass Animals,Life Itself,281406
2019-09-28 22:16,Glass Animals,Youth,230693
2019-09-28 22:20,Glass Animals,Season 2 Episode 3,243509
