endTime,artistName,trackName,msPlayed
2019-09-12 10:31,Imagine Dragons,It's Time,90773
2019-09-13 00:42,Chance the Rapper,Get A Bag,201079
2019-09-13 00:48,Anderson .Paak,The Dreamer (feat. Talib Kweli & Timan Family Choir),339973
2019-09-13 00:52,Lil Dicky,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),290835
2019-09-13 00:56,Breaking Benjamin,Blow Me Away - Soundtrack Version,205680
2019-09-13 00:59,Misha Mansoor,Follow in Flight,211306
2019-09-13 01:02,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,158040
2019-09-13 01:08,AmaLee,Golden Time Lover,341280
2019-09-13 01:13,Tina Turner,Proud Mary,327400
2019-09-13 01:21,Lady Gaga,Shallow,215733
2019-09-13 01:25,Grouplove,Tongue Tied,218013
2019-09-13 01:28,Breakbot,Baby I'm Yours - feat. Irfrane,215786
2019-09-13 01:30,Coldplay,A Sky Full of Stars,72345
2019-09-13 02:49,Ramin Djawadi,Pacific Rim (feat. Tom Morello),46810
2019-09-13 02:56,Neon Trees,Animal,212293
2019-09-13 02:59,Blackway,What's Up Danger (with Black Caviar),222306
2019-09-13 03:02,John Mayer,Dreaming with a Broken Heart,2070
2019-09-13 03:02,Alicia Keys,Empire State of Mind (Part II) Broken Down,150690
2019-09-13 03:02,John Mayer,No Such Thing,1170
2019-09-13 03:19,Coldplay,Hymn for the Weekend,258826
2019-09-13 03:22,Fall Out Boy,Immortals,189386
2019-09-13 03:25,Rob Thomas,Little Wonders,225133
2019-09-13 03:31,Israel Kamakawiwo'ole,Somewhere Over The Rainbow_What A Wonderful World,308026
2019-09-13 03:34,U2,Angel Of Harlem,229266
2019-09-13 03:39,Led Zeppelin,Black Dog - 1990 Remaster,294000
2019-09-13 03:43,OutKast,Hey Ya! - Radio Mix,239240
2019-09-13 03:45,Tom Jones,It's Not Unusual,119800
2019-09-13 03:49,Denzel Curry,Ultimate,189974
2019-09-13 03:52,Smash Mouth,Walkin' On The Sun,206413
2019-09-13 03:56,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,222813
2019-09-13 04:01,Eminem,Without Me,290320
2019-09-13 04:06,Hans Zimmer,What Are You Going to Do When You Are Not Saving the World?,327338
2019-09-13 04:13,The Doors,L.A. Woman,423630
2019-09-13 15:29,Jon Bellion,Morning In America,236660
2019-09-13 15:33,Beyoncé,End of Time,223986
2019-09-13 15:36,T-Pain,Buy U a Drank (Shawty Snappin'),225313
2019-09-13 15:41,Electric Light Orchestra,Mr. Blue Sky,270020
2019-09-13 22:03,Miguel,waves - Tame Impala Remix,253346
2019-09-13 22:07,Aerosmith,Dream On,265093
2019-09-13 22:08,Katy Perry,I Kissed A Girl,65405
2019-09-13 23:55,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),7662
2019-09-13 23:59,Ariana Grande,The Way,227026
2019-09-14 00:02,Ariana Grande,successful,227386
2019-09-14 00:05,Beyoncé,Welcome - Homecoming Live,38602
2019-09-14 00:05,Beyoncé,Partition - Homecoming Live,138526
2019-09-14 00:23,Miguel,waves - Tame Impala Remix,253346
2019-09-14 00:27,Paul Lipson,Breaking the Covenant,190093
2019-09-14 00:31,Thirty Seconds To Mars,Closer To The Edge,273466
2019-09-14 00:34,Drake,Back To Back,170637
2019-09-14 00:37,Brian Tyler,Can You Dig It (Iron Man 3 Main Titles),162200
2019-09-14 00:41,FLOW,7 -Seven-,260760
2019-09-14 00:44,Demi Lovato,Sorry Not Sorry,203760
2019-09-14 00:49,Hans Zimmer,"Main Theme (From ""The Dark Knight Rises"")",261946
2019-09-14 00:54,Evanescence,Bring Me To Life,4535
2019-09-14 00:54,Benny Benassi,Cinema (feat. Gary Go) - Skrillex Remix,307986
2019-09-14 00:54,AC/DC,Highway to Hell,6994
2019-09-14 00:58,Evanescence,Bring Me To Life,5004
2019-09-14 00:58,AC/DC,Highway to Hell,208920
2019-09-14 01:02,The Rolling Stones,Gimme Shelter,270773
2019-09-14 01:06,Imagine Dragons,Believer,204346
2019-09-14 01:09,Fall Out Boy,"Sugar, We're Goin Down",229093
2019-09-14 01:13,Blackway,What's Up Danger (with Black Caviar),222306
2019-09-14 01:16,Tyler Bates,Black Tears,163226
2019-09-14 01:19,Greta Van Fleet,Highway Tune,180640
2019-09-14 01:21,Alan Silvestri,The Avengers,123360
2019-09-14 01:24,Kazuma Jinnouchi,Light Is Green,208666
2019-09-14 01:25,Michael Salvatori,Guardian,6702
2019-09-14 01:28,Imagine Dragons,Machine,181880
2019-09-14 01:31,Boney M.,"Rasputin - 7"" Version",220733
2019-09-14 01:44,Bruno Mars,24K Magic,172414
2019-09-14 01:49,Trapt,Headstrong,285569
2019-09-14 01:55,Black Sabbath,Iron Man - 2012 - Remaster,347564
2019-09-14 02:21,Paramore,Misery Business,101819
2019-09-14 02:24,WILLOW,Wait a Minute!,196520
2019-09-14 02:28,Greta Van Fleet,Black Smoke Rising,259893
2019-09-14 02:32,Grateful Dead,"Iko Iko - Live at Civic Arena, Pittsburgh, PA, April 2, 1989",226806
2019-09-14 02:34,The Dubliners,The Wild Rover,143568
2019-09-14 02:43,Bruno Mars,Locked out of Heaven,13590
2019-09-14 02:43,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),187971
2019-09-14 04:20,Anderson .Paak,King James,103150
2019-09-14 07:15,Hans Zimmer,Oogway Ascends,45116
2019-09-14 20:14,Hans Zimmer,Oogway Ascends,81320
2019-09-14 20:27,Doja Cat,Go To Town,209570
2019-09-15 02:01,Hans Zimmer,Sacred Pool Of Tears,89559
2019-09-15 02:04,Train,"Hey, Soul Sister",216773
2019-09-15 02:08,Ed Sheeran,Photograph,258986
2019-09-15 02:15,Dropkick Murphys,Rose Tattoo,13968
2019-09-15 02:19,Miguel,waves - Tame Impala Remix,253346
2019-09-15 02:22,Imagine Dragons,Thunder,187146
2019-09-15 02:22,The Fray,Syndicate,12966
2019-09-15 03:38,Ariana Grande,Side To Side,226160
2019-09-15 04:08,Ariana Grande,successful,188580
2019-09-15 04:10,Ariana Grande,successful,131123
2019-09-15 13:59,Tina Turner,Proud Mary,327400
2019-09-15 14:03,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),214480
2019-09-15 14:07,Will Smith,Gettin' Jiggy Wit It,227933
2019-09-15 14:12,TOTO,Africa,295893
2019-09-15 14:14,David Glen Eisley,Sweet Victory,126653
2019-09-15 14:19,Billy Joel,Piano Man,336093
2019-09-15 14:23,Donny Osmond,"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",201680
2019-09-15 14:26,Bowling For Soup,1985,193000
2019-09-15 14:31,Rascal Flatts,Life is a Highway,276320
2019-09-15 14:36,Red Hot Chili Peppers,Snow (Hey Oh),334666
2019-09-15 14:40,Redbone,Come and Get Your Love - Single Version,205933
2019-09-15 14:44,Nickelback,Rockstar,252040
2019-09-15 14:48,Bob Marley & The Wailers,Buffalo Soldier,257440
2019-09-15 14:52,"Earth, Wind & Fire",September,215080
2019-09-15 14:55,The Five Stairsteps,O-o-h Child,197440
2019-09-15 14:58,Auli'i Cravalho,How Far I'll Go,163386
2019-09-15 15:00,Jimmy Eat World,The Middle,165853
2019-09-15 15:04,Train,Calling All Angels,242200
2019-09-15 15:10,George Michael,Careless Whisper,300106
2019-09-15 15:14,John Mayer,Dreaming with a Broken Heart,245746
2019-09-15 15:18,Alicia Keys,No One,253813
2019-09-15 15:18,Drake,Started From the Bottom,36982
2019-09-15 15:19,Galantis,Runaway (U & I),1480
2019-09-15 15:19,Michael Giacchino,Academic Decommitment,2698
2019-09-15 15:20,T-Pain,Dan Bilzerian (feat. Lil Yachty),78030
2019-09-15 15:23,Led Zeppelin,Immigrant Song - 2012 Remaster,1332
2019-09-15 15:23,Jon Bellion,Blu,33568
2019-09-15 15:23,The Jackson 5,I Want You Back,180893
2019-09-15 15:23,Bee Gees,How Deep Is Your Love,621
2019-09-15 15:24,Eminem,Won't Back Down,6112
2019-09-15 15:30,Guns N' Roses,Paradise City,405600
2019-09-15 15:34,Jessie J,Bang Bang,2497
2019-09-15 15:34,Natasha Bedingfield,Unwritten,12432
2019-09-15 15:34,Lizzo,Heaven Help Me,700
2019-09-15 15:34,The Fray,Singing Low,0
2019-09-15 15:34,Maroon 5,Maps,189960
2019-09-15 15:34,Selena Gomez,Hands To Myself,726
2019-09-15 15:34,Calvin Harris,This Is What You Came For (feat. Rihanna),1302
2019-09-15 15:34,Michael Jackson,Smooth Criminal - 2012 Remaster,2497
2019-09-15 15:34,Stephen Barton,Demeter,1654
2019-09-15 15:42,Meat Loaf,Paradise By the Dashboard Light,508333
2019-09-15 15:57,Ariana Grande,Dangerous Woman,174346
2019-09-15 19:20,The Temper Trap,Sweet Disposition,230800
2019-09-15 19:24,Muse,Starlight,240213
2019-09-15 19:27,Ween,Ocean Man,51059
2019-09-15 19:34,Hans Zimmer,Sacred Pool Of Tears,259730
2019-09-15 19:35,Deep Blue Something,Breakfast At Tiffany's,90460
2019-09-15 20:33,Stephen Barton,Demeter,13260
2019-09-15 20:39,Red Hot Chili Peppers,Snow (Hey Oh),334666
2019-09-15 20:41,Blue Swede,Hooked on a Feeling,172866
2019-09-15 20:54,Elvin Bishop,Fooled Around And Fell In Love,274333
2019-09-15 20:54,Frank Sinatra,"Theme From New York, New York",27923
2019-09-15 20:58,Kanye West,Bound 2,229146
2019-09-15 21:02,John Williams,Anakin vs. Obi-Wan,228523
2019-09-15 21:02,Nelly,Just A Dream,1460
2019-09-15 21:25,Alessia Cara,Scars To Your Beautiful,230226
2019-09-15 21:28,Doja Cat,Go To Town,217813
2019-09-15 22:39,Grateful Dead,Casey Jones - 2001 Remaster,265640
2019-09-15 22:45,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",326466
2019-09-16 00:44,Michael Jackson,Don't Stop 'Til You Get Enough - 2003 Edit,227613
2019-09-16 00:48,Doja Cat,Go To Town,217813
2019-09-16 00:52,Oasis,Wonderwall - Remastered,258732
2019-09-16 00:56,Hozier,Take Me to Church,241693
2019-09-16 01:01,The Fray,How to Save a Life,262533
2019-09-16 01:04,Michael Jackson,Love Never Felt So Good,235400
2019-09-16 04:31,Bruce Springsteen,Born to Run,64067
2019-09-16 04:33,Hans Zimmer,Oogway Ascends,123506
2019-09-16 04:33,Black Eyed Peas,Where Is The Love?,13702
2019-09-16 04:35,NIKI,move!,156176
2019-09-16 04:38,Crush 40,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",159092
2019-09-16 17:11,Hans Zimmer,Oogway Ascends,123506
2019-09-16 17:15,Led Zeppelin,Whole Lotta Love - 1990 Remaster,13936
2019-09-16 17:15,Train,"Save Me, San Francisco",249426
2019-09-16 17:20,Miguel,waves - Tame Impala Remix,253346
2019-09-16 17:23,WILLOW,Wait a Minute!,196520
2019-09-16 17:26,Tessie,The Way,183571
2019-09-16 17:26,Cardi B,I Like It,8421
2019-09-16 17:28,Beyoncé,Freedom - Homecoming Live,105083
2019-09-16 17:30,John Mayer,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",144096
2019-09-16 17:36,Greta Van Fleet,Age Of Man,366186
2019-09-16 17:41,Ed Sheeran,Photograph,258986
2019-09-16 17:42,Evanescence,Bring Me To Life,94676
2019-09-16 17:47,Anderson .Paak,The Dreamer (feat. Talib Kweli & Timan Family Choir),278310
2019-09-16 21:29,Jon Bellion,Morning In America,265950
2019-09-16 21:33,London Music Works,"Theme (From ""Battlefield 1942"")",950
2019-09-16 21:33,Gordy Haab,Cratered,1250
2019-09-16 21:33,Bon Jovi,Livin' On A Prayer,1040
2019-09-16 21:33,Trapt,Headstrong,1400
2019-09-16 21:33,Demi Lovato,Lonely,275999
2019-09-16 22:52,Will Smith,Miami,3070
2019-09-16 22:59,Hans Zimmer,Sacred Pool Of Tears,446430
2019-09-16 23:03,Alan Silvestri,Portals,197213
2019-09-16 23:07,Lil Wayne,Scared of the Dark (feat. XXXTENTACION),233000
2019-09-16 23:08,Coldplay,Magic,2250
2019-09-16 23:08,The St Patricks Day Collective,Dear Old Donegal,103786
2019-09-16 23:22,Breaking Benjamin,Blow Me Away - Soundtrack Version,205680
2019-09-16 23:25,Smash Mouth,Hot,151013
2019-09-16 23:28,Kris Allen,Live Like We're Dying,212746
2019-09-16 23:29,John Williams,"Leia's News and Light of the Force - From ""Star Wars: Return of the Jedi""",62018
2019-09-16 23:34,Fleetwood Mac,The Chain - 2004 Remaster,270213
2019-09-16 23:37,Dizzee Rascal,Bonkers,177573
2019-09-16 23:41,Jeff Williams,Agent Tex,244600
2019-09-16 23:53,FLOW,Howling,261546
2019-09-16 23:56,Ramones,Blitzkrieg Bop - 40th Anniversary Mono Mix,132520
2019-09-16 23:58,Ted Poley,Escape From The City ...for City Escape,112683
2019-09-17 00:02,P!nk,Get the Party Started,192533
2019-09-17 00:07,John Williams,Duel of the Fates,254346
2019-09-17 00:10,Anderson .Paak,Come Down,169726
2019-09-17 00:14,DMX,X Gon' Give It To Ya,117380
2019-09-17 00:19,Michael Jackson,P.Y.T. (Pretty Young Thing),238733
2019-09-17 00:23,Kazuma Jinnouchi,Blue Team,277906
2019-09-17 00:26,Kanye West,Gold Digger,153479
2019-09-17 00:26,Michael Giacchino,"Theme (from ""Spider Man"") [Original Television Series]",1901
2019-09-17 00:29,Imagine Dragons,Thunder,187146
2019-09-17 00:39,NERO,Promises,257359
2019-09-17 00:40,The Killers,Somebody Told Me,84838
2019-09-17 01:04,The Fray,Syndicate,209973
2019-09-17 01:08,Grouplove,Tongue Tied,218013
2019-09-17 01:28,Gotye,Somebody That I Used To Know,215759
2019-09-17 02:06,Neil Davidge,117,403610
2019-09-17 02:13,Neil Davidge,117,448374
2019-09-17 02:14,Bruno Mars,Talking to the Moon,59155
2019-09-17 03:35,Ariana Grande,7 rings,178626
2019-09-17 03:38,NERO,Promises,1180
2019-09-17 03:38,Plain White T's,"1, 2, 3, 4",198360
2019-09-17 03:38,Hans Zimmer,"Main Theme (From ""The Dark Knight Rises"")",1770
2019-09-17 03:38,Michael Jackson,P.Y.T. (Pretty Young Thing),15033
2019-09-17 03:38,Michael Giacchino,Trust Goes Both Ways,1490
2019-09-17 03:59,Hoodie Allen,Act My Age,192139
2019-09-17 04:05,Red Hot Chili Peppers,Californication,329733
2019-09-17 04:08,WALK THE MOON,Shut Up and Dance,199080
2019-09-17 04:12,Shinedown,Second Chance,222066
2019-09-17 06:49,Michael Giacchino,Jyn Erso & Hope Suite,287840
2019-09-17 17:46,Doja Cat,Go To Town,217813
2019-09-17 17:50,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,258342
2019-09-17 17:54,Enrique Iglesias,Hero,264600
2019-09-17 17:58,Normani,Motivation,193837
2019-09-17 18:01,Jack Johnson,Good People,208506
2019-09-17 18:06,Charles Givings,Easy (LIke Sunday Morning),266320
2019-09-17 18:09,Fall Out Boy,Thnks fr th Mmrs,208253
2019-09-17 18:11,Cyndi Lauper,Time After Time,138286
2019-09-17 18:16,AJR,I'm Not Famous,220457
2019-09-17 18:19,Maroon 5,This Love,206200
2019-09-17 18:24,Muse,Madness,281040
2019-09-17 18:25,Shaggy,Boombastic,49752
2019-09-17 18:25,The Pogues,If I Should Fall from Grace with God,23370
2019-09-17 18:27,Chance the Rapper,My Own Thing,3330
2019-09-17 18:27,Lizzo,Heaven Help Me,125960
2019-09-17 18:28,Lizzo,Truth Hurts,61550
2019-09-17 18:31,Ariana Grande,"break up with your girlfriend, i'm bored",190440
2019-09-17 18:35,Weezer,Say It Ain't So,190950
2019-09-17 18:38,Donnie Trumpet & The Social Experiment,Sunday Candy,226013
2019-09-17 18:41,Jon Bellion,Overwhelming,172751
2019-09-17 18:42,Saweetie,My Type (feat. City Girls & Jhené Aiko) - Remix,21985
2019-09-17 18:47,Beyoncé,Formation - Homecoming Live,262831
2019-09-17 18:51,Martin O'Donnell,Behold a Pale Horse,226768
2019-09-17 18:51,Jonny Bombastic,Johnny be good - Radio Version,1140
2019-09-17 18:51,Bruno Mars,Grenade,2400
2019-09-17 19:10,The Beatles,Hey Jude - Remastered 2015,425653
2019-09-17 19:15,OneRepublic,Feel Again,3170
2019-09-17 19:15,Andy Grammer,"Honey, I'm Good.",1040
2019-09-17 19:15,Aerosmith,Dude (Looks Like A Lady),250976
2019-09-17 19:18,Alessia Cara,Here,173280
2019-09-17 19:52,James Brown,Get Up Offa That Thing,164620
2019-09-17 20:13,Greta Van Fleet,Watching Over,558
2019-09-17 20:17,Miguel,waves - Tame Impala Remix,253346
2019-09-17 20:20,Hans Zimmer,Sacred Pool Of Tears,97714
2019-09-17 20:23,The All-American Rejects,Dirty Little Secret,193653
2019-09-17 20:32,DragonForce,Through the Fire and Flames,441560
2019-09-17 20:35,3 Doors Down,Kryptonite,233933
2019-09-17 20:42,Imagine Dragons,Friction,201800
2019-09-17 20:46,Ennio Morricone,The Ecstasy of Gold - L'Estasi Dell'oro,203066
2019-09-17 20:48,Jeff Williams,Boss Battle,143753
2019-09-17 20:52,Ramin Djawadi,Pacific Rim (feat. Tom Morello),254042
2019-09-17 20:53,Ludacris,Get Back,7474
2019-09-17 20:57,AC/DC,Thunderstruck,292880
2019-09-17 20:59,Jeff Williams,Ice Fight,95640
2019-09-17 21:07,Guns N' Roses,Welcome To The Jungle,242063
